team1,team2,score1,score2,event,date,winner
Voca,BOSS,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 12th 2026,Voca
ENCE,fnatic,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 12th 2026,fnatic
ShindeN,Crashers,2,0,CCT Season 3 South America Series 8,Results for February 11th 2026,ShindeN
Johnny Speeds,SINNERS,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,SINNERS
BIG EQUIPA,Let Her Cook,2,0,JB Pro League Female Season 1,Results for February 11th 2026,BIG EQUIPA
Phantom,VP.Prodigy,1,2,CCT Season 3 Europe Series 15,Results for February 11th 2026,VP.Prodigy
BOSS,Fisher College,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,BOSS
CSDIILIT,Oxuji,2,1,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 11th 2026,CSDIILIT
Voca,SportsBetExpert,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,Voca
Bad Luck,GameHunters,0,2,CCT Season 3 South America Series 8,Results for February 11th 2026,GameHunters
fnatic,BET-M,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,BET-M
BetBoom,SINNERS,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,BetBoom
ENCE,Alliance,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,ENCE
Pigeons,Peekaboo,2,0,JB Pro League Female Season 1,Results for February 11th 2026,Pigeons
Inner Circle,Johnny Speeds,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,Johnny Speeds
FAVBET,los kogutos,2,1,CCT Season 3 Europe Series 15,Results for February 11th 2026,FAVBET
TDK,Atreides,2,0,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 11th 2026,TDK
ex-KRÜ,BESTIA Academy,2,0,CCT Season 3 South America Series 8,Results for February 11th 2026,ex-KRÜ
Alliance,OG,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,Alliance
Johnny Speeds,K27,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,Johnny Speeds
CYBERSHOKE,Inner Circle,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,Inner Circle
ENCE,EYEBALLERS,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,ENCE
Pigeons,Ursa,0,2,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 11th 2026,Ursa
Acend,ex-Zero Tenacity,2,0,CCT Season 3 Europe Series 15,Results for February 11th 2026,Acend
ex-FUT Academy,VP.Prodigy,0,2,United21 League Season 44,Results for February 11th 2026,VP.Prodigy
PRIME,HyperSpirit,1,2,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 11th 2026,HyperSpirit
Metizport,Lazer Cats,2,0,CCT Season 3 Europe Series 15,Results for February 11th 2026,Metizport
AaB,Alliance,0,1,United21 League Season 44,Results for February 11th 2026,Alliance
FlyQuest RED,F5,1,2,Dust2.us Eagle Masters Series 6,Results for February 11th 2026,F5
Outfit 49,Blitzkrieg,2,0,Dust2.us Eagle Masters Series 6,Results for February 11th 2026,Outfit 49
LAG,Chicken Coop,2,0,Dust2.us Eagle Masters Series 6,Results for February 11th 2026,LAG
Fisher College,Wildcard,0,2,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,Wildcard
Passion UA,SportsBetExpert,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,Passion UA
Aether,Zomblers,0,2,Dust2.us Eagle Masters Series 6,Results for February 11th 2026,Zomblers
Marsborne,Rave,2,0,CCT Season 3 North America Series 3,Results for February 11th 2026,Marsborne
Sakura,InControl,0,2,Dust2.us Eagle Masters Series 6,Results for February 11th 2026,InControl
OG,Nemesis,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,OG
Rave,Voca,0,2,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,Voca
mouse,BOSS,0,2,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,BOSS
ShindeN,Vasco,0,2,CCT Season 3 South America Series 8,Results for February 11th 2026,Vasco
Inner Circle,BET-M,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,BET-M
Tricked,EYEBALLERS,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,EYEBALLERS
Let Her Cook,hindsight,2,1,JB Pro League Female Season 1,Results for February 11th 2026,Let Her Cook
Wildcard,Voca,2,1,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 10th 2026,Wildcard
fnatic,K27,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,fnatic
Fake do Biru,Bad Luck,2,1,CCT Season 3 South America Series 8,Results for February 10th 2026,Fake do Biru
SportsBetExpert,BOSS,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 10th 2026,SportsBetExpert
BASEMENT BOYS,CYBERSHOKE,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,CYBERSHOKE
Alliance,SINNERS,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,SINNERS
Passion UA,mouse,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 10th 2026,Passion UA
GenOne,WHITEBIRD,0,2,CCT Season 3 Europe Series 15,Results for February 10th 2026,WHITEBIRD
BRUTE,home,2,0,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 10th 2026,BRUTE
BIG EQUIPA,confidence,2,0,JB Pro League Female Season 1,Results for February 10th 2026,BIG EQUIPA
Johnny Speeds,Nuclear TigeRES,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,Johnny Speeds
Rave,Fisher College,0,1,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 10th 2026,Fisher College
ex-KRÜ,FOLHA AMARELA,1,2,CCT Season 3 South America Series 8,Results for February 10th 2026,FOLHA AMARELA
Inner Circle,Tricked,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,Inner Circle
BET-M,EYEBALLERS,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,BET-M
BetBoom,ENCE,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,BetBoom
Enjoy,QWENTRY,0,2,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 10th 2026,QWENTRY
Leo,ALGO,2,0,CCT Season 3 Europe Series 15,Results for February 10th 2026,Leo
Nemesis,K27,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,K27
fnatic,OG,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,fnatic
ENCE,CYBERSHOKE,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,ENCE
Nuclear TigeRES,SINNERS,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,SINNERS
Bebop,Washington,2,0,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 10th 2026,Bebop
BIG EQUIPA,Nexus,0,2,CCT Season 3 Europe Series 15,Results for February 10th 2026,Nexus
BetBoom,BASEMENT BOYS,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,BetBoom
Alliance,Johnny Speeds,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,Alliance
ASTRAL,kONO,2,1,CCT Season 3 Europe Series 15,Results for February 10th 2026,ASTRAL
VP.Prodigy,MASONIC,2,0,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 10th 2026,VP.Prodigy
SportsBetExpert,Reign Above,2,0,Dust2.us Eagle Masters Series 6,Results for February 10th 2026,SportsBetExpert
regain,Wildcard,0,2,Dust2.us Eagle Masters Series 6,Results for February 10th 2026,Wildcard
Rave,LAG,1,0,CCT Season 3 North America Series 3,Results for February 10th 2026,Rave
Marsborne,SportsBetExpert,2,0,CCT Season 3 North America Series 3,Results for February 10th 2026,Marsborne
Procyon,BESTIA Academy,1,2,CCT Season 3 South America Series 8,Results for February 10th 2026,BESTIA Academy
Peekaboo,Fingers Crossed fe,2,0,JB Pro League Female Season 1,Results for February 9th 2026,Peekaboo
home,Washington,2,0,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 9th 2026,home
BIG EQUIPA,los kogutos,0,2,CCT Season 3 Europe Series 15,Results for February 9th 2026,los kogutos
FURIA fe,Crashers,0,2,CCT Season 3 South America Series 8,Results for February 9th 2026,Crashers
Leo,Lazer Cats,1,2,CCT Season 3 Europe Series 15,Results for February 9th 2026,Lazer Cats
Bebop,BRUTE,1,2,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 9th 2026,BRUTE
Pigeons,imodium,2,0,JB Pro League Female Season 1,Results for February 9th 2026,Pigeons
Players,GameHunters,0,2,CCT Season 3 South America Series 8,Results for February 9th 2026,GameHunters
MASONIC,QWENTRY,0,2,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 9th 2026,QWENTRY
Phantom,WHITEBIRD,2,0,CCT Season 3 Europe Series 15,Results for February 9th 2026,Phantom
VP.Prodigy,Enjoy,1,2,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 9th 2026,Enjoy
Metizport,ALGO,2,0,CCT Season 3 Europe Series 15,Results for February 9th 2026,Metizport
FlyQuest RED,SportsBetExpert,0,2,CCT Season 3 North America Series 3,Results for February 9th 2026,SportsBetExpert
Fisher College,1WIN NA,2,1,IEM Atlanta 2026 Americas Open Qualifier,Results for February 9th 2026,Fisher College
ClayMakers,Wildcard,0,2,IEM Atlanta 2026 Americas Open Qualifier,Results for February 9th 2026,Wildcard
SportsBetExpert,Omen,2,0,IEM Atlanta 2026 Americas Open Qualifier,Results for February 9th 2026,SportsBetExpert
mouse,F5,2,0,IEM Atlanta 2026 Americas Open Qualifier,Results for February 9th 2026,mouse
ex-KRÜ,9z,0,2,CCT Season 3 South America Series 8,Results for February 9th 2026,9z
Rave,regain,1,0,CCT Season 3 North America Series 3,Results for February 8th 2026,Rave
LP,Vasco,2,0,CCT Season 3 South America Series 8,Results for February 8th 2026,LP
pugs4contract,BET-M,0,2,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,BET-M
OG,Phantom,2,0,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,OG
FURIA,Vitality,1,3,IEM Kraków 2026,Results for February 8th 2026,Vitality
ASTRAL,ex-Zero Tenacity,0,2,CCT Season 3 Europe Series 15,Results for February 8th 2026,ex-Zero Tenacity
MOUZ NXT,Nuclear TigeRES,0,2,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,Nuclear TigeRES
ARCRED,BASEMENT BOYS,0,1,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,BASEMENT BOYS
NRG,Passion UA,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,NRG
