team1,team2,score1,score2,event,date,match_url,winner
MIBR,ShindeN,0,1,CCT Season 3 South America Series 8,Results for February 12th 2026,https://www.hltv.org/matches/2389798/mibr-vs-shinden-cct-season-3-south-america-series-8,ShindeN
Voca,BOSS,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 12th 2026,https://www.hltv.org/matches/2390144/voca-vs-boss-iem-atlanta-2026-americas-closed-qualifier,Voca
ENCE,fnatic,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 12th 2026,https://www.hltv.org/matches/2390129/ence-vs-fnatic-iem-atlanta-2026-closed-qualifier,fnatic
ShindeN,Crashers,2,0,CCT Season 3 South America Series 8,Results for February 11th 2026,https://www.hltv.org/matches/2389797/shinden-vs-crashers-cct-season-3-south-america-series-8,ShindeN
Johnny Speeds,SINNERS,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390128/johnny-speeds-vs-sinners-iem-atlanta-2026-closed-qualifier,SINNERS
BIG EQUIPA,Let Her Cook,2,0,JB Pro League Female Season 1,Results for February 11th 2026,https://www.hltv.org/matches/2390093/big-equipa-vs-let-her-cook-jb-pro-league-female-season-1,BIG EQUIPA
Phantom,VP.Prodigy,1,2,CCT Season 3 Europe Series 15,Results for February 11th 2026,https://www.hltv.org/matches/2389852/phantom-vs-vpprodigy-cct-season-3-europe-series-15,VP.Prodigy
BOSS,Fisher College,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390141/boss-vs-fisher-college-iem-atlanta-2026-americas-closed-qualifier,BOSS
CSDIILIT,Oxuji,2,1,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390014/csdiilit-vs-oxuji-cct-season-3-europe-series-16-closed-qualifier,CSDIILIT
Voca,SportsBetExpert,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390142/voca-vs-sportsbetexpert-iem-atlanta-2026-americas-closed-qualifier,Voca
Bad Luck,GameHunters,0,2,CCT Season 3 South America Series 8,Results for February 11th 2026,https://www.hltv.org/matches/2389796/bad-luck-vs-gamehunters-cct-season-3-south-america-series-8,GameHunters
fnatic,BET-M,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390125/fnatic-vs-bet-m-iem-atlanta-2026-closed-qualifier,BET-M
BetBoom,SINNERS,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390124/betboom-vs-sinners-iem-atlanta-2026-closed-qualifier,BetBoom
ENCE,Alliance,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390127/ence-vs-alliance-iem-atlanta-2026-closed-qualifier,ENCE
Pigeons,Peekaboo,2,0,JB Pro League Female Season 1,Results for February 11th 2026,https://www.hltv.org/matches/2390092/pigeons-vs-peekaboo-jb-pro-league-female-season-1,Pigeons
Inner Circle,Johnny Speeds,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390126/inner-circle-vs-johnny-speeds-iem-atlanta-2026-closed-qualifier,Johnny Speeds
FAVBET,los kogutos,2,1,CCT Season 3 Europe Series 15,Results for February 11th 2026,https://www.hltv.org/matches/2389851/favbet-vs-los-kogutos-cct-season-3-europe-series-15,FAVBET
TDK,Atreides,2,0,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390013/tdk-vs-atreides-cct-season-3-europe-series-16-closed-qualifier,TDK
ex-KRÜ,BESTIA Academy,2,0,CCT Season 3 South America Series 8,Results for February 11th 2026,https://www.hltv.org/matches/2389795/ex-kr-vs-bestia-academy-cct-season-3-south-america-series-8,ex-KRÜ
Alliance,OG,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390122/alliance-vs-og-iem-atlanta-2026-closed-qualifier,Alliance
