match_id,team1,team2,map_name,score_t1,score_t2,map_winner,map_number,date
2390144,Voca,BOSS,Nuke,13,8,Voca,1,11th of February 2026
2390144,Voca,BOSS,Mirage,13,3,Voca,2,11th of February 2026
2390129,ENCE,fnatic,Ancient,19,17,ENCE,1,11th of February 2026
2390129,ENCE,fnatic,Overpass,10,13,fnatic,2,11th of February 2026
2390129,ENCE,fnatic,Anubis,10,13,fnatic,3,11th of February 2026
2390128,Johnny Speeds,SINNERS,Inferno,11,13,SINNERS,1,11th of February 2026
2390128,Johnny Speeds,SINNERS,Dust2,4,13,SINNERS,2,11th of February 2026
2390125,fnatic,BET-M,Ancient,8,13,BET-M,1,11th of February 2026
2390125,fnatic,BET-M,Dust2,13,9,fnatic,2,11th of February 2026
2390125,fnatic,BET-M,Inferno,7,13,BET-M,3,11th of February 2026
2390124,BetBoom,SINNERS,Dust2,13,10,BetBoom,1,11th of February 2026
2390124,BetBoom,SINNERS,Mirage,4,13,SINNERS,2,11th of February 2026
2390124,BetBoom,SINNERS,Nuke,13,7,BetBoom,3,11th of February 2026
2390127,ENCE,Alliance,Mirage,13,5,ENCE,1,11th of February 2026
2390127,ENCE,Alliance,Overpass,13,10,ENCE,2,11th of February 2026
2390126,Inner Circle,Johnny Speeds,Overpass,10,13,Johnny Speeds,1,11th of February 2026
2390126,Inner Circle,Johnny Speeds,Dust2,9,13,Johnny Speeds,2,11th of February 2026
2389851,FAVBET,los kogutos,Dust2,13,9,FAVBET,1,11th of February 2026
2389851,FAVBET,los kogutos,Nuke,10,13,los kogutos,2,11th of February 2026
2389851,FAVBET,los kogutos,Anubis,13,7,FAVBET,3,11th of February 2026
2390122,Alliance,OG,Overpass,13,8,Alliance,1,11th of February 2026
2390122,Alliance,OG,Ancient,5,13,OG,2,11th of February 2026
2390122,Alliance,OG,Inferno,13,5,Alliance,3,11th of February 2026
2390121,Johnny Speeds,K27,Overpass,16,14,Johnny Speeds,1,11th of February 2026
2390121,Johnny Speeds,K27,Dust2,13,9,Johnny Speeds,2,11th of February 2026
2390120,CYBERSHOKE,Inner Circle,Dust2,6,13,Inner Circle,1,11th of February 2026
2390120,CYBERSHOKE,Inner Circle,Mirage,11,13,Inner Circle,2,11th of February 2026
2390123,ENCE,EYEBALLERS,Nuke,13,6,ENCE,1,11th of February 2026
2390123,ENCE,EYEBALLERS,Mirage,13,5,ENCE,2,11th of February 2026
2390118,OG,Nemesis,Inferno,13,7,OG,1,10th of February 2026
2390118,OG,Nemesis,Ancient,20,22,Nemesis,2,10th of February 2026
2390118,OG,Nemesis,Nuke,19,17,OG,3,10th of February 2026
2390117,Inner Circle,BET-M,Ancient,8,13,BET-M,1,10th of February 2026
2390117,Inner Circle,BET-M,Dust2,13,10,Inner Circle,2,10th of February 2026
2390117,Inner Circle,BET-M,Mirage,7,13,BET-M,3,10th of February 2026
2390119,Tricked,EYEBALLERS,Overpass,16,14,Tricked,1,10th of February 2026
2390119,Tricked,EYEBALLERS,Ancient,10,13,EYEBALLERS,2,10th of February 2026
2390119,Tricked,EYEBALLERS,Mirage,6,13,EYEBALLERS,3,10th of February 2026
2390136,Wildcard,Voca,Mirage,7,13,Voca,1,10th of February 2026
2390136,Wildcard,Voca,Dust2,13,10,Wildcard,2,10th of February 2026
2390136,Wildcard,Voca,Overpass,13,9,Wildcard,3,10th of February 2026
2390116,fnatic,K27,Dust2,16,13,fnatic,1,10th of February 2026
2390116,fnatic,K27,Mirage,0,13,K27,2,10th of February 2026
2390116,fnatic,K27,Overpass,13,8,fnatic,3,10th of February 2026
2390113,Alliance,SINNERS,Overpass,9,13,SINNERS,1,10th of February 2026
2390113,Alliance,SINNERS,Mirage,10,13,SINNERS,2,10th of February 2026
2389848,GenOne,WHITEBIRD,Overpass,11,13,WHITEBIRD,1,10th of February 2026
2389848,GenOne,WHITEBIRD,Dust2,7,13,WHITEBIRD,2,10th of February 2026
2390115,Johnny Speeds,Nuclear TigeRES,Inferno,13,3,Johnny Speeds,1,10th of February 2026
2390115,Johnny Speeds,Nuclear TigeRES,Nuke,13,10,Johnny Speeds,2,10th of February 2026
2390110,Inner Circle,Tricked,Anubis,13,8,Inner Circle,1,10th of February 2026
2390110,Inner Circle,Tricked,Ancient,17,19,Tricked,2,10th of February 2026
2390110,Inner Circle,Tricked,Nuke,13,10,Inner Circle,3,10th of February 2026
2390111,BET-M,EYEBALLERS,Ancient,6,13,EYEBALLERS,1,10th of February 2026
2390111,BET-M,EYEBALLERS,Dust2,16,13,BET-M,2,10th of February 2026
2390111,BET-M,EYEBALLERS,Inferno,13,8,BET-M,3,10th of February 2026
2390112,BetBoom,ENCE,Nuke,13,8,BetBoom,1,10th of February 2026
2390112,BetBoom,ENCE,Ancient,13,4,BetBoom,2,10th of February 2026
2390109,Nemesis,K27,Ancient,10,13,K27,1,10th of February 2026
2390109,Nemesis,K27,Dust2,5,13,K27,2,10th of February 2026
2390108,fnatic,OG,Inferno,13,6,fnatic,1,10th of February 2026
2390108,fnatic,OG,Dust2,13,9,fnatic,2,10th of February 2026
2390105,ENCE,CYBERSHOKE,Nuke,13,7,ENCE,1,10th of February 2026
2390105,ENCE,CYBERSHOKE,Dust2,4,13,CYBERSHOKE,2,10th of February 2026
2390105,ENCE,CYBERSHOKE,Anubis,13,6,ENCE,3,10th of February 2026
2390107,Nuclear TigeRES,SINNERS,Ancient,13,6,Nuclear TigeRES,1,10th of February 2026
2390107,Nuclear TigeRES,SINNERS,Dust2,2,13,SINNERS,2,10th of February 2026
2390107,Nuclear TigeRES,SINNERS,Nuke,10,13,SINNERS,3,10th of February 2026
2390106,Alliance,Johnny Speeds,Dust2,13,10,Alliance,1,10th of February 2026
2390106,Alliance,Johnny Speeds,Inferno,13,4,Alliance,2,10th of February 2026
2389666,FURIA,Vitality,Mirage,13,11,FURIA,1,8th of February 2026
2389666,FURIA,Vitality,Inferno,8,13,Vitality,2,8th of February 2026
2389666,FURIA,Vitality,Nuke,2,13,Vitality,3,8th of February 2026
2389666,FURIA,Vitality,Overpass,10,13,Vitality,4,8th of February 2026
2390086,MOUZ NXT,Nuclear TigeRES,Dust2,8,13,Nuclear TigeRES,1,8th of February 2026
2390086,MOUZ NXT,Nuclear TigeRES,Ancient,13,16,Nuclear TigeRES,2,8th of February 2026
2389917,NRG,Passion UA,Nuke,13,3,NRG,1,8th of February 2026
2389917,NRG,Passion UA,Mirage,13,7,NRG,2,8th of February 2026
2389924,9z,Sharks,Overpass,13,9,9z,1,8th of February 2026
2389924,9z,Sharks,Inferno,13,7,9z,2,8th of February 2026
2389946,Ninjas in Pyjamas,GamerLegion,Nuke,13,10,Ninjas in Pyjamas,1,8th of February 2026
2389946,Ninjas in Pyjamas,GamerLegion,Mirage,12,16,GamerLegion,2,8th of February 2026
2389946,Ninjas in Pyjamas,GamerLegion,Ancient,13,10,Ninjas in Pyjamas,3,8th of February 2026
2389939,Lynn Vision,TYLOO,Nuke,12,16,TYLOO,1,8th of February 2026
2389939,Lynn Vision,TYLOO,Overpass,10,13,TYLOO,2,8th of February 2026
2389665,Spirit,MOUZ,Dust2,13,8,Spirit,1,8th of February 2026
2389665,Spirit,MOUZ,Mirage,13,3,Spirit,2,8th of February 2026
2389916,M80,Passion UA,Overpass,11,13,Passion UA,1,7th of February 2026
2389916,M80,Passion UA,Mirage,13,11,M80,2,7th of February 2026
2389916,M80,Passion UA,Inferno,5,13,Passion UA,3,7th of February 2026
2389923,RED Canids,Sharks,Nuke,11,13,Sharks,1,7th of February 2026
2389923,RED Canids,Sharks,Inferno,16,14,RED Canids,2,7th of February 2026
2389923,RED Canids,Sharks,Mirage,6,13,Sharks,3,7th of February 2026
2389915,NRG,Voca,Mirage,19,15,NRG,1,7th of February 2026
2389915,NRG,Voca,Dust2,11,13,Voca,2,7th of February 2026
2389915,NRG,Voca,Ancient,13,10,NRG,3,7th of February 2026
2389664,Vitality,MOUZ,Nuke,13,7,Vitality,1,7th of February 2026
2389664,Vitality,MOUZ,Dust2,13,6,Vitality,2,7th of February 2026
2389922,Imperial,9z,Nuke,13,6,Imperial,1,7th of February 2026
2389922,Imperial,9z,Inferno,8,13,9z,2,7th of February 2026
2389922,Imperial,9z,Dust2,9,13,9z,3,7th of February 2026
2389663,Spirit,FURIA,Mirage,13,16,FURIA,1,7th of February 2026
2389663,Spirit,FURIA,Dust2,13,8,Spirit,2,7th of February 2026
2389663,Spirit,FURIA,Nuke,7,13,FURIA,3,7th of February 2026
2389945,GamerLegion,BC.Game,Nuke,13,7,GamerLegion,1,7th of February 2026
2389945,GamerLegion,BC.Game,Inferno,13,10,GamerLegion,2,7th of February 2026
2389938,Rare Atom,TYLOO,Overpass,7,13,TYLOO,1,7th of February 2026
2389938,Rare Atom,TYLOO,Inferno,17,19,TYLOO,2,7th of February 2026
2389937,Morningstar,Lynn Vision,Ancient,9,13,Lynn Vision,1,7th of February 2026
2389937,Morningstar,Lynn Vision,Dust2,5,13,Lynn Vision,2,7th of February 2026
2389913,M80,Wildcard,Mirage,13,9,M80,1,7th of February 2026
2389913,M80,Wildcard,Dust2,13,9,M80,2,7th of February 2026
2389914,Passion UA,BOSS,Mirage,13,2,Passion UA,1,6th of February 2026
2389914,Passion UA,BOSS,Overpass,13,7,Passion UA,2,6th of February 2026
2389780,Fake do Biru,9z,Overpass,14,16,9z,1,6th of February 2026
2389780,Fake do Biru,9z,Dust2,3,13,9z,2,6th of February 2026
2389912,Marsborne,Voca,Mirage,11,13,Voca,1,6th of February 2026
2389912,Marsborne,Voca,Anubis,13,9,Marsborne,2,6th of February 2026
2389912,Marsborne,Voca,Overpass,14,16,Voca,3,6th of February 2026
2389943,BC.Game,Alliance,Ancient,13,6,BC.Game,1,6th of February 2026
2389943,BC.Game,Alliance,Nuke,13,10,BC.Game,2,6th of February 2026
2389920,RED Canids,Bounty Hunters,Ancient,13,8,RED Canids,1,6th of February 2026
2389920,RED Canids,Bounty Hunters,Nuke,13,4,RED Canids,2,6th of February 2026
2389572,BetBoom,magic,Mirage,16,12,BetBoom,1,6th of February 2026
2389572,BetBoom,magic,Ancient,11,13,magic,2,6th of February 2026
2389572,BetBoom,magic,Overpass,2,13,magic,3,6th of February 2026
2389662,G2,MOUZ,Overpass,13,16,MOUZ,1,6th of February 2026
2389662,G2,MOUZ,Dust2,7,13,MOUZ,2,6th of February 2026
2389942,Ninjas in Pyjamas,Gentle Mates,Ancient,13,6,Ninjas in Pyjamas,1,6th of February 2026
2389942,Ninjas in Pyjamas,Gentle Mates,Anubis,9,13,Gentle Mates,2,6th of February 2026
2389942,Ninjas in Pyjamas,Gentle Mates,Nuke,13,11,Ninjas in Pyjamas,3,6th of February 2026
2389919,Gaimin Gladiators,9z,Nuke,13,16,9z,1,6th of February 2026
2389919,Gaimin Gladiators,9z,Dust2,5,13,9z,2,6th of February 2026
2389571,magic,FAVBET,Anubis,13,11,magic,1,6th of February 2026
2389571,magic,FAVBET,Ancient,5,13,FAVBET,2,6th of February 2026
2389571,magic,FAVBET,Inferno,13,11,magic,3,6th of February 2026
2389661,FURIA,Aurora,Dust2,13,7,FURIA,1,6th of February 2026
2389661,FURIA,Aurora,Mirage,13,4,FURIA,2,6th of February 2026
2389941,GamerLegion,ex-RUBY,Dust2,11,13,ex-RUBY,1,6th of February 2026
2389941,GamerLegion,ex-RUBY,Mirage,13,7,GamerLegion,2,6th of February 2026
2389941,GamerLegion,ex-RUBY,Ancient,13,3,GamerLegion,3,6th of February 2026
2389910,NEXVOID,The Huns,Overpass,13,10,NEXVOID,1,6th of February 2026
2389910,NEXVOID,The Huns,Ancient,11,13,The Huns,2,6th of February 2026
2389910,NEXVOID,The Huns,Inferno,16,14,NEXVOID,3,6th of February 2026
2389570,BetBoom,ex-RUBY,Dust2,11,13,ex-RUBY,1,6th of February 2026
2389570,BetBoom,ex-RUBY,Overpass,13,11,BetBoom,2,6th of February 2026
2389570,BetBoom,ex-RUBY,Default,1,0,BetBoom,3,6th of February 2026
2389933,The Huns,Morningstar,Ancient,11,13,Morningstar,1,6th of February 2026
2389933,The Huns,Morningstar,Dust2,7,13,Morningstar,2,6th of February 2026
2389569,FAVBET,ECSTATIC,Anubis,13,4,FAVBET,1,5th of February 2026
2389569,FAVBET,ECSTATIC,Overpass,13,8,FAVBET,2,5th of February 2026
2389828,los kogutos,WHITEBIRD,Dust2,7,13,WHITEBIRD,1,5th of February 2026
2389828,los kogutos,WHITEBIRD,Ancient,10,13,WHITEBIRD,2,5th of February 2026
2389238,ECSTATIC,illwill,Mirage,12,16,illwill,1,5th of February 2026
2389238,ECSTATIC,illwill,Overpass,13,11,ECSTATIC,2,5th of February 2026
2389238,ECSTATIC,illwill,Nuke,9,13,illwill,3,5th of February 2026
2389568,EYEBALLERS,magic,Ancient,2,13,magic,1,5th of February 2026
2389568,EYEBALLERS,magic,Mirage,5,13,magic,2,5th of February 2026
2389567,ex-RUBY,9INE,Overpass,13,5,ex-RUBY,1,5th of February 2026
2389567,ex-RUBY,9INE,Nuke,6,13,9INE,2,5th of February 2026
2389567,ex-RUBY,9INE,Ancient,13,7,ex-RUBY,3,5th of February 2026
2389237,Nuclear TigeRES,illwill,Nuke,11,13,illwill,1,5th of February 2026
2389237,Nuclear TigeRES,illwill,Inferno,11,13,illwill,2,5th of February 2026
2389907,NEXVOID,The Huns,Overpass,13,10,NEXVOID,1,5th of February 2026
2389907,NEXVOID,The Huns,Ancient,16,13,NEXVOID,2,5th of February 2026
2389566,BetBoom,KOLESIE,Mirage,13,3,BetBoom,1,5th of February 2026
2389566,BetBoom,KOLESIE,Nuke,13,9,BetBoom,2,5th of February 2026
2389236,ECSTATIC,GenOne,Anubis,13,6,ECSTATIC,1,5th of February 2026
2389236,ECSTATIC,GenOne,Inferno,13,9,ECSTATIC,2,5th of February 2026
2389565,9INE,los kogutos,Ancient,13,7,9INE,1,4th of February 2026
2389565,9INE,los kogutos,Dust2,13,9,9INE,2,4th of February 2026
2389235,Betclic,illwill,Mirage,8,13,illwill,1,4th of February 2026
2389235,Betclic,illwill,Overpass,3,13,illwill,2,4th of February 2026
2389564,BetBoom,FORZE Reload,Overpass,13,3,BetBoom,1,4th of February 2026
2389564,BetBoom,FORZE Reload,Dust2,8,13,FORZE Reload,2,4th of February 2026
