match_id,map_name,map_number,team1,team2,pistol1_winner,pistol2_winner
2390129,Ence,1,ENCE,fnatic,ENCE,fnatic
2390129,Fnatic,2,ENCE,fnatic,fnatic,fnatic
2390129,Fnatic,3,ENCE,fnatic,fnatic,ENCE
2390128,Speeds,1,Johnny Speeds,SINNERS,Johnny Speeds,SINNERS
2390128,Sinners,2,Johnny Speeds,SINNERS,SINNERS,SINNERS
2390124,Sinners,1,BetBoom,SINNERS,BetBoom,SINNERS
2390124,Betboom,2,BetBoom,SINNERS,SINNERS,SINNERS
2390124,Betboom,3,BetBoom,SINNERS,SINNERS,BetBoom
2390125,Fnatic,1,fnatic,BET-M,BET-M,fnatic
2390125,Fnatic,2,fnatic,BET-M,BET-M,fnatic
2390125,M,3,fnatic,BET-M,BET-M,BET-M
2390144,Boss,1,Voca,BOSS,BOSS,BOSS
2390144,Voca,2,Voca,BOSS,BOSS,Voca
2390127,Mirage,1,ENCE,Alliance,ENCE,ENCE
2390127,Overpass,2,ENCE,Alliance,ENCE,ENCE
2390126,Overpass,1,Inner Circle,Johnny Speeds,Johnny Speeds,Inner Circle
2390126,Dust2,2,Inner Circle,Johnny Speeds,Johnny Speeds,Johnny Speeds
2389851,Dust2,1,FAVBET,los kogutos,los kogutos,FAVBET
2389851,Nuke,2,FAVBET,los kogutos,los kogutos,FAVBET
2389851,Anubis,3,FAVBET,los kogutos,los kogutos,FAVBET
2390122,Overpass,1,Alliance,OG,OG,OG
2390122,Ancient,2,Alliance,OG,OG,Alliance
2390122,Inferno,3,Alliance,OG,OG,Alliance
2390121,Overpass,1,Johnny Speeds,K27,Johnny Speeds,Johnny Speeds
2390121,Dust2,2,Johnny Speeds,K27,K27,K27
2390120,Dust2,1,CYBERSHOKE,Inner Circle,Inner Circle,Inner Circle
2390120,Mirage,2,CYBERSHOKE,Inner Circle,Inner Circle,CYBERSHOKE
2390123,Nuke,1,ENCE,EYEBALLERS,ENCE,ENCE
2390123,Mirage,2,ENCE,EYEBALLERS,ENCE,ENCE
2390118,Inferno,1,OG,Nemesis,Nemesis,OG
2390118,Ancient,2,OG,Nemesis,OG,Nemesis
2390118,Nuke,3,OG,Nemesis,OG,OG
2390117,Ancient,1,Inner Circle,BET-M,BET-M,BET-M
2390117,Dust2,2,Inner Circle,BET-M,Inner Circle,Inner Circle
2390117,Mirage,3,Inner Circle,BET-M,Inner Circle,Inner Circle
2390119,Overpass,1,Tricked,EYEBALLERS,EYEBALLERS,EYEBALLERS
2390119,Ancient,2,Tricked,EYEBALLERS,Tricked,Tricked
2390119,Mirage,3,Tricked,EYEBALLERS,Tricked,EYEBALLERS
2390136,Mirage,1,Wildcard,Voca,Voca,Wildcard
2390136,Dust2,2,Wildcard,Voca,Voca,Voca
2390136,Overpass,3,Wildcard,Voca,Voca,Voca
2390116,Dust2,1,fnatic,K27,fnatic,K27
2390116,Mirage,2,fnatic,K27,K27,K27
2390116,Overpass,3,fnatic,K27,fnatic,K27
2390113,Overpass,1,Alliance,SINNERS,Alliance,SINNERS
2390113,Mirage,2,Alliance,SINNERS,Alliance,SINNERS
2389848,Overpass,1,GenOne,WHITEBIRD,GenOne,GenOne
2389848,Dust2,2,GenOne,WHITEBIRD,GenOne,WHITEBIRD
2390115,Inferno,1,Johnny Speeds,Nuclear TigeRES,Johnny Speeds,Johnny Speeds
2390115,Nuke,2,Johnny Speeds,Nuclear TigeRES,Johnny Speeds,Johnny Speeds
2390110,Anubis,1,Inner Circle,Tricked,Inner Circle,Inner Circle
2390110,Ancient,2,Inner Circle,Tricked,Inner Circle,Inner Circle
2390110,Nuke,3,Inner Circle,Tricked,Inner Circle,Tricked
2390111,Ancient,1,BET-M,EYEBALLERS,BET-M,EYEBALLERS
2390111,Dust2,2,BET-M,EYEBALLERS,BET-M,EYEBALLERS
2390111,Inferno,3,BET-M,EYEBALLERS,EYEBALLERS,BET-M
2390112,Nuke,1,BetBoom,ENCE,ENCE,BetBoom
2390112,Ancient,2,BetBoom,ENCE,ENCE,BetBoom
2390109,Ancient,1,Nemesis,K27,K27,K27
2390109,Dust2,2,Nemesis,K27,Nemesis,K27
2390108,Inferno,1,fnatic,OG,fnatic,fnatic
2390108,Dust2,2,fnatic,OG,fnatic,fnatic
2390105,Nuke,1,ENCE,CYBERSHOKE,CYBERSHOKE,CYBERSHOKE
2390105,Dust2,2,ENCE,CYBERSHOKE,CYBERSHOKE,CYBERSHOKE
2390105,Anubis,3,ENCE,CYBERSHOKE,CYBERSHOKE,ENCE
2390107,Ancient,1,Nuclear TigeRES,SINNERS,Nuclear TigeRES,SINNERS
2390107,Dust2,2,Nuclear TigeRES,SINNERS,SINNERS,Nuclear TigeRES
2390107,Nuke,3,Nuclear TigeRES,SINNERS,Nuclear TigeRES,Nuclear TigeRES
2390106,Dust2,1,Alliance,Johnny Speeds,Alliance,Alliance
2390106,Inferno,2,Alliance,Johnny Speeds,Alliance,Alliance
2389666,Mirage,1,FURIA,Vitality,FURIA,FURIA
2389666,Inferno,2,FURIA,Vitality,Vitality,Vitality
2389666,Nuke,3,FURIA,Vitality,Vitality,Vitality
2389666,Overpass,4,FURIA,Vitality,Vitality,FURIA
2390086,Dust2,1,MOUZ NXT,Nuclear TigeRES,Nuclear TigeRES,MOUZ NXT
2390086,Ancient,2,MOUZ NXT,Nuclear TigeRES,MOUZ NXT,MOUZ NXT
2389917,Nuke,1,NRG,Passion UA,NRG,NRG
2389917,Mirage,2,NRG,Passion UA,NRG,NRG
2389924,Overpass,1,9z,Sharks,Sharks,Sharks
2389924,Inferno,2,9z,Sharks,Sharks,9z
2389946,Nuke,1,Ninjas in Pyjamas,GamerLegion,GamerLegion,Ninjas in Pyjamas
2389946,Mirage,2,Ninjas in Pyjamas,GamerLegion,Ninjas in Pyjamas,GamerLegion
2389946,Ancient,3,Ninjas in Pyjamas,GamerLegion,Ninjas in Pyjamas,Ninjas in Pyjamas
2389939,Nuke,1,Lynn Vision,TYLOO,TYLOO,Lynn Vision
2389939,Overpass,2,Lynn Vision,TYLOO,Lynn Vision,Lynn Vision
2389665,Dust2,1,Spirit,MOUZ,Spirit,Spirit
2389665,Mirage,2,Spirit,MOUZ,Spirit,Spirit
2389916,Overpass,1,M80,Passion UA,M80,M80
2389916,Mirage,2,M80,Passion UA,Passion UA,M80
2389916,Inferno,3,M80,Passion UA,M80,M80
2389923,Nuke,1,RED Canids,Sharks,RED Canids,RED Canids
2389923,Inferno,2,RED Canids,Sharks,RED Canids,RED Canids
2389923,Mirage,3,RED Canids,Sharks,RED Canids,RED Canids
2389915,Mirage,1,NRG,Voca,Voca,Voca
2389915,Dust2,2,NRG,Voca,Voca,NRG
2389915,Ancient,3,NRG,Voca,Voca,NRG
2389664,Nuke,1,Vitality,MOUZ,Vitality,Vitality
2389664,Dust2,2,Vitality,MOUZ,MOUZ,Vitality
2389922,Nuke,1,Imperial,9z,Imperial,Imperial
2389922,Inferno,2,Imperial,9z,9z,9z
2389922,Dust2,3,Imperial,9z,9z,9z
2389663,Mirage,1,Spirit,FURIA,Spirit,Spirit
2389663,Dust2,2,Spirit,FURIA,FURIA,Spirit
2389663,Nuke,3,Spirit,FURIA,FURIA,Spirit
2389945,Nuke,1,GamerLegion,BC.Game,GamerLegion,BC.Game
2389945,Inferno,2,GamerLegion,BC.Game,GamerLegion,BC.Game
2389938,Overpass,1,Rare Atom,TYLOO,TYLOO,Rare Atom
2389938,Inferno,2,Rare Atom,TYLOO,TYLOO,Rare Atom
2389937,Ancient,1,Morningstar,Lynn Vision,Morningstar,Morningstar
2389937,Dust2,2,Morningstar,Lynn Vision,Morningstar,Morningstar
2389913,Mirage,1,M80,Wildcard,Wildcard,M80
2389913,Dust2,2,M80,Wildcard,Wildcard,Wildcard
2389914,Mirage,1,Passion UA,BOSS,BOSS,Passion UA
