date,team,rank,points
2025-07-21,Vitality,1,1000
2025-07-21,MOUZ,2,534
2025-07-21,The MongolZ,3,459
2025-07-21,Spirit,4,406
2025-07-21,Aurora,5,290
2025-07-21,Falcons,6,274
2025-07-21,Natus Vincere,7,238
2025-07-21,FaZe,8,218
2025-07-21,FURIA,9,205
2025-07-21,paiN,10,193
2025-07-21,Astralis,11,175
2025-07-21,G2,12,149
2025-07-21,GamerLegion,13,138
2025-07-21,3DMAX,14,127
2025-07-21,Virtus.pro,15,122
2025-07-21,TYLOO,16,118
2025-07-21,Legacy,17,115
2025-07-21,Liquid,18,100
2025-07-21,Lynn Vision,19,100
2025-07-21,MIBR,20,81
2025-07-21,HEROIC,21,81
2025-07-21,B8,22,71
2025-07-21,Complexity,23,70
2025-07-21,BetBoom,24,58
2025-07-21,BIG,25,57
2025-07-21,SAW,26,55
2025-07-21,Nemiga,27,52
2025-07-21,Ninjas in Pyjamas,28,46
2025-07-21,M80,29,36
2025-07-21,TNL,30,34
2025-07-21,Wildcard,31,34
2025-07-21,Passion UA,32,32
2025-07-21,ECSTATIC,33,32
2025-07-21,FlyQuest,34,31
2025-07-21,ODDIK,35,30
2025-07-21,HOTU,36,29
2025-07-21,OG,37,28
2025-07-21,Imperial,38,24
2025-07-21,fnatic,39,24
2025-07-21,NRG,40,24
2025-07-21,PARIVISION,41,23
2025-07-21,ex-NAVI Junior,42,21
2025-07-21,Chinggis Warriors,43,21
2025-07-21,Fluxo,44,21
2025-07-21,Iberian Soul,45,19
2025-07-21,ENCE,46,19
2025-07-21,Sashi,47,19
2025-07-21,Alliance,48,18
2025-07-21,Rare Atom,49,16
2025-07-21,CYBERSHOKE,50,16
2025-07-21,Zero Tenacity,51,15
2025-07-21,KOLESIE,52,15
2025-07-21,Nexus,53,15
2025-07-21,JiJieHao,54,15
2025-07-21,Spirit Academy,55,14
2025-07-21,33,56,14
2025-07-21,Sharks,57,14
2025-07-21,ESC,58,14
2025-07-21,BLUEJAYS,59,14
2025-07-21,9INE,60,13
2025-07-21,Eruption,61,13
2025-07-21,Partizan,62,13
2025-07-21,9z,63,12
2025-07-21,BC.Game,64,12
2025-07-21,FAVBET,65,12
2025-07-21,Sangal,66,12
2025-07-21,GUN5,67,12
2025-07-21,RUBY,68,12
2025-07-21,The Huns,69,12
2025-07-21,Betclic,70,11
2025-07-21,RED Canids,71,11
2025-07-21,Betera,72,10
2025-07-21,Marsborne,73,10
2025-07-21,Johnny Speeds,74,9
2025-07-21,Tricked,75,9
2025-07-21,Monte,76,9
2025-07-21,m1x,77,9
2025-07-21,2GAME,78,9
2025-07-21,The Last Resort,79,8
2025-07-21,AMKAL,80,8
2025-07-21,BESTIA,81,8
2025-07-21,Getting Info,82,8
2025-07-21,SPARTA,83,8
2025-07-21,VP.Prodigy,84,8
2025-07-21,Metizport,85,8
2025-07-21,ECLOT,86,8
2025-07-21,NXT,87,8
2025-07-21,AaB,88,8
2025-07-21,ARCRED,89,8
2025-07-21,LAG,90,8
2025-07-21,500,91,8
2025-07-21,CPH Wolves,92,8
2025-07-21,1win,93,7
2025-07-21,EYEBALLERS,94,7
2025-07-21,MANA,95,7
2025-07-21,SemperFi,96,7
2025-07-21,FORZE Reload,97,7
2025-07-21,Fire Flux,98,7
2025-07-21,IHC,99,7
2025-07-21,Chicken Coop,100,7
2025-07-28,Vitality,1,1000
2025-07-28,MOUZ,2,552
2025-07-28,The MongolZ,3,515
2025-07-28,Spirit,4,433
2025-07-28,Aurora,5,282
2025-07-28,Falcons,6,281
2025-07-28,FaZe,7,263
2025-07-28,FURIA,8,257
2025-07-28,Natus Vincere,9,242
2025-07-28,paiN,10,219
2025-07-28,Astralis,11,208
2025-07-28,GamerLegion,12,173
2025-07-28,3DMAX,13,163
2025-07-28,G2,14,150
2025-07-28,TYLOO,15,145
2025-07-28,Legacy,16,131
2025-07-28,Virtus.pro,17,129
2025-07-28,Liquid,18,123
2025-07-28,Lynn Vision,19,110
2025-07-28,HEROIC,20,101
2025-07-28,Ninjas in Pyjamas,21,90
2025-07-28,MIBR,22,84
2025-07-28,Complexity,23,74
2025-07-28,B8,24,73
2025-07-28,SAW,25,69
2025-07-28,BetBoom,26,61
2025-07-28,Nemiga,27,59
2025-07-28,BIG,28,59
2025-07-28,FlyQuest,29,46
2025-07-28,TNL,30,38
2025-07-28,M80,31,38
2025-07-28,ODDIK,32,36
2025-07-28,Passion UA,33,34
2025-07-28,OG,34,34
2025-07-28,ECSTATIC,35,33
2025-07-28,HOTU,36,31
2025-07-28,Wildcard,37,31
2025-07-28,Iberian Soul,38,27
2025-07-28,PARIVISION,39,27
2025-07-28,fnatic,40,26
2025-07-28,NRG,41,26
2025-07-28,ex-NAVI Junior,42,24
2025-07-28,Imperial,43,24
2025-07-28,Fluxo,44,22
2025-07-28,Alliance,45,20
2025-07-28,Rare Atom,46,20
2025-07-28,Sashi,47,19
2025-07-28,Chinggis Warriors,48,19
2025-07-28,KOLESIE,49,18
2025-07-28,Partizan,50,18
2025-07-28,ESC,51,17
2025-07-28,ENCE,52,17
2025-07-28,Zero Tenacity,53,17
2025-07-28,Nexus,54,17
2025-07-28,Sharks,55,16
2025-07-28,BLUEJAYS,56,16
2025-07-28,33,57,16
2025-07-28,9INE,58,15
2025-07-28,JiJieHao,59,15
2025-07-28,Spirit Academy,60,15
2025-07-28,CYBERSHOKE,61,15
2025-07-28,Betera,62,13
2025-07-28,Betclic,63,13
2025-07-28,RED Canids,64,13
2025-07-28,Sangal,65,13
2025-07-28,GUN5,66,13
2025-07-28,BC.Game,67,12
2025-07-28,FAVBET,68,12
2025-07-28,Marsborne,69,12
2025-07-28,Monte,70,12
2025-07-28,RUBY,71,12
2025-07-28,Tricked,72,11
2025-07-28,Johnny Speeds,73,11
2025-07-28,m1x,74,10
2025-07-28,Getting Info,75,10
