team1,team2,score1,score2,event,date,winner,rank1,rank2
Voca,BOSS,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 12th 2026,Voca,49,94
ENCE,fnatic,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 12th 2026,fnatic,70,33
Johnny Speeds,SINNERS,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,SINNERS,73,65
fnatic,BET-M,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,BET-M,33,80
BetBoom,SINNERS,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,BetBoom,32,65
ENCE,Alliance,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,ENCE,70,76
Inner Circle,Johnny Speeds,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,Johnny Speeds,44,73
FAVBET,los kogutos,2,1,CCT Season 3 Europe Series 15,Results for February 11th 2026,FAVBET,68,89
Alliance,OG,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,Alliance,76,52
Johnny Speeds,K27,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,Johnny Speeds,73,40
CYBERSHOKE,Inner Circle,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,Inner Circle,58,44
ENCE,EYEBALLERS,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,ENCE,70,34
OG,Nemesis,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,OG,52,45
Inner Circle,BET-M,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,BET-M,44,80
Tricked,EYEBALLERS,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,EYEBALLERS,59,34
Wildcard,Voca,2,1,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 10th 2026,Wildcard,75,49
fnatic,K27,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,fnatic,33,40
Alliance,SINNERS,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,SINNERS,76,65
GenOne,WHITEBIRD,0,2,CCT Season 3 Europe Series 15,Results for February 10th 2026,WHITEBIRD,56,86
Johnny Speeds,Nuclear TigeRES,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,Johnny Speeds,73,43
Inner Circle,Tricked,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,Inner Circle,44,59
BET-M,EYEBALLERS,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,BET-M,80,34
BetBoom,ENCE,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,BetBoom,32,70
Nemesis,K27,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,K27,45,40
fnatic,OG,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,fnatic,33,52
ENCE,CYBERSHOKE,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,ENCE,70,58
Nuclear TigeRES,SINNERS,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,SINNERS,43,65
Alliance,Johnny Speeds,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,Alliance,76,73
FURIA,Vitality,1,3,IEM Kraków 2026,Results for February 8th 2026,Vitality,2,1
MOUZ NXT,Nuclear TigeRES,0,2,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,Nuclear TigeRES,69,43
NRG,Passion UA,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,NRG,19,17
9z,Sharks,2,0,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,9z,42,39
Ninjas in Pyjamas,GamerLegion,2,1,RES Showdown 3: BLAST Premier Rising Event,Results for February 8th 2026,Ninjas in Pyjamas,21,20
Lynn Vision,TYLOO,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 8th 2026,TYLOO,36,30
Spirit,MOUZ,2,0,IEM Kraków 2026,Results for February 8th 2026,Spirit,5,4
M80,Passion UA,1,2,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,Passion UA,24,17
RED Canids,Sharks,1,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,Sharks,38,39
NRG,Voca,2,1,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,NRG,19,49
Vitality,MOUZ,2,0,IEM Kraków 2026,Results for February 7th 2026,Vitality,1,4
Imperial,9z,1,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,9z,23,42
Spirit,FURIA,1,2,IEM Kraków 2026,Results for February 7th 2026,FURIA,5,2
GamerLegion,BC.Game,2,0,RES Showdown 3: BLAST Premier Rising Event,Results for February 7th 2026,GamerLegion,20,26
Rare Atom,TYLOO,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 7th 2026,TYLOO,72,30
Morningstar,Lynn Vision,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 7th 2026,Lynn Vision,82,36
M80,Wildcard,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,M80,24,75
Passion UA,BOSS,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,Passion UA,17,94
Fake do Biru,9z,0,2,CCT Season 3 South America Series 8,Results for February 7th 2026,9z,100,42
Marsborne,Voca,1,2,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,Voca,53,49
BC.Game,Alliance,2,0,RES Showdown 3: BLAST Premier Rising Event,Results for February 6th 2026,BC.Game,26,76
RED Canids,Bounty Hunters,2,0,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,RED Canids,38,88
BetBoom,magic,1,2,CCT Season 3 Europe Series 14,Results for February 6th 2026,magic,32,48
G2,MOUZ,0,2,IEM Kraków 2026,Results for February 6th 2026,MOUZ,9,4
Ninjas in Pyjamas,Gentle Mates,2,1,RES Showdown 3: BLAST Premier Rising Event,Results for February 6th 2026,Ninjas in Pyjamas,21,27
Gaimin Gladiators,9z,0,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,9z,64,42
magic,FAVBET,2,1,CCT Season 3 Europe Series 14,Results for February 6th 2026,magic,48,68
FURIA,Aurora,2,0,IEM Kraków 2026,Results for February 6th 2026,FURIA,2,11
GamerLegion,ex-RUBY,2,1,RES Showdown 3: BLAST Premier Rising Event,Results for February 6th 2026,GamerLegion,20,57
NEXVOID,The Huns,2,1,MESA Pro Series Opening 2026,Results for February 6th 2026,NEXVOID,74,67
BetBoom,ex-RUBY,2,1,CCT Season 3 Europe Series 14,Results for February 6th 2026,BetBoom,32,57
The Huns,Morningstar,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 6th 2026,Morningstar,67,82
FAVBET,ECSTATIC,2,0,CCT Season 3 Europe Series 14,Results for February 5th 2026,FAVBET,68,50
los kogutos,WHITEBIRD,0,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 5th 2026,WHITEBIRD,89,86
ECSTATIC,illwill,1,2,NODWIN Clutch Series 4,Results for February 5th 2026,illwill,50,46
EYEBALLERS,magic,0,2,CCT Season 3 Europe Series 14,Results for February 5th 2026,magic,34,48
ex-RUBY,9INE,2,1,CCT Season 3 Europe Series 14,Results for February 5th 2026,ex-RUBY,57,41
Nuclear TigeRES,illwill,0,2,NODWIN Clutch Series 4,Results for February 5th 2026,illwill,43,46
NEXVOID,The Huns,2,0,MESA Pro Series Opening 2026,Results for February 5th 2026,NEXVOID,74,67
BetBoom,KOLESIE,2,0,CCT Season 3 Europe Series 14,Results for February 5th 2026,BetBoom,32,54
ECSTATIC,GenOne,2,0,NODWIN Clutch Series 4,Results for February 5th 2026,ECSTATIC,50,56
9INE,los kogutos,2,0,CCT Season 3 Europe Series 14,Results for February 4th 2026,9INE,41,89
Betclic,illwill,0,2,NODWIN Clutch Series 4,Results for February 4th 2026,illwill,93,46
BetBoom,FORZE Reload,2,1,CCT Season 3 Europe Series 14,Results for February 4th 2026,BetBoom,32,90
9INE,Nuclear TigeRES,0,2,NODWIN Clutch Series 4,Results for February 4th 2026,Nuclear TigeRES,41,43
Oramond,FAVBET,3,2,European Pro League Series 4,Results for February 4th 2026,Oramond,51,68
ENCE,ex-RUBY,0,2,CCT Season 3 Europe Series 14,Results for February 4th 2026,ex-RUBY,70,57
ECSTATIC,Sangal,2,0,NODWIN Clutch Series 4,Results for February 4th 2026,ECSTATIC,50,97
Nuclear TigeRES,KOLESIE,1,2,CCT Season 3 Europe Series 14,Results for February 4th 2026,KOLESIE,43,54
Nemiga,K27,0,2,Exort Cataclysm Season 1,Results for February 3rd 2026,K27,55,40
Falcons,MOUZ,0,2,IEM Kraków 2026,Results for February 3rd 2026,MOUZ,3,4
SINNERS,magic,1,2,CCT Season 3 Europe Series 14,Results for February 3rd 2026,magic,65,48
Vitality,Aurora,2,0,IEM Kraków 2026,Results for February 3rd 2026,Vitality,1,11
ARCRED,K27,1,2,Exort Cataclysm Season 1,Results for February 3rd 2026,K27,60,40
ShindeN,9z,1,2,CCT Season 3 South America Series 8,Results for February 3rd 2026,9z,71,42
G2,Spirit,1,2,IEM Kraków 2026,Results for February 3rd 2026,Spirit,9,5
Astralis,FURIA,1,2,IEM Kraków 2026,Results for February 3rd 2026,FURIA,12,2
HOTU,FAVBET,0,2,CCT Season 3 Europe Series 14,Results for February 3rd 2026,FAVBET,35,68
K27,Nuclear TigeRES,2,1,Exort Cataclysm Season 1,Results for February 3rd 2026,K27,40,43
ARCRED,Nemiga,1,2,Exort Cataclysm Season 1,Results for February 3rd 2026,Nemiga,60,55
SINNERS,GenOne,1,2,NODWIN Clutch Series 4,Results for February 3rd 2026,GenOne,65,56
MOUZ,FaZe,2,0,IEM Kraków 2026,Results for February 3rd 2026,MOUZ,4,7
3DMAX,Falcons,0,2,IEM Kraków 2026,Results for February 3rd 2026,Falcons,13,3
ECSTATIC,Oramond,2,0,CCT Season 3 Europe Series 14,Results for February 3rd 2026,ECSTATIC,50,51
WHITEBIRD,Nuclear TigeRES,1,2,Exort Cataclysm Season 1,Results for February 3rd 2026,Nuclear TigeRES,86,43
EYEBALLERS,1win,2,1,CCT Season 3 Europe Series 14,Results for February 3rd 2026,EYEBALLERS,34,77
K27,Nemesis,2,1,Exort Cataclysm Season 1,Results for February 3rd 2026,K27,40,45
magic,ex-RUBY,0,2,European Pro League Series 4,Results for February 3rd 2026,ex-RUBY,48,57
Nemesis,illwill,0,1,NODWIN Clutch Series 4,Results for February 3rd 2026,illwill,45,46
Nemiga,Nuclear TigeRES,2,1,Exort Cataclysm Season 1,Results for February 2nd 2026,Nemiga,55,43
FURIA,Natus Vincere,2,1,IEM Kraków 2026,Results for February 2nd 2026,FURIA,2,8
FUT,Astralis,1,2,IEM Kraków 2026,Results for February 2nd 2026,Astralis,14,12
BET-M,Nemesis,1,2,Exort Cataclysm Season 1,Results for February 2nd 2026,Nemesis,80,45
Inner Circle,Betclic,1,2,NODWIN Clutch Series 4,Results for February 2nd 2026,Betclic,44,93
NRG,Falcons,1,2,IEM Kraków 2026,Results for February 2nd 2026,Falcons,19,3
FaZe,BC.Game,2,1,IEM Kraków 2026,Results for February 2nd 2026,FaZe,7,26
WHITEBIRD,RUSTEC,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,WHITEBIRD,86,98
ARCRED,K27,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,ARCRED,60,40
