team1,team2,score1,score2,event,date,match_url,winner,rank1,rank2
MIBR,ShindeN,0,1,CCT Season 3 South America Series 8,Results for February 12th 2026,https://www.hltv.org/matches/2389798/mibr-vs-shinden-cct-season-3-south-america-series-8,ShindeN,28,71
Voca,BOSS,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 12th 2026,https://www.hltv.org/matches/2390144/voca-vs-boss-iem-atlanta-2026-americas-closed-qualifier,Voca,49,94
ENCE,fnatic,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 12th 2026,https://www.hltv.org/matches/2390129/ence-vs-fnatic-iem-atlanta-2026-closed-qualifier,fnatic,70,33
Johnny Speeds,SINNERS,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390128/johnny-speeds-vs-sinners-iem-atlanta-2026-closed-qualifier,SINNERS,73,65
fnatic,BET-M,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390125/fnatic-vs-bet-m-iem-atlanta-2026-closed-qualifier,BET-M,33,80
BetBoom,SINNERS,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390124/betboom-vs-sinners-iem-atlanta-2026-closed-qualifier,BetBoom,32,65
ENCE,Alliance,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390127/ence-vs-alliance-iem-atlanta-2026-closed-qualifier,ENCE,70,76
Inner Circle,Johnny Speeds,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390126/inner-circle-vs-johnny-speeds-iem-atlanta-2026-closed-qualifier,Johnny Speeds,44,73
FAVBET,los kogutos,2,1,CCT Season 3 Europe Series 15,Results for February 11th 2026,https://www.hltv.org/matches/2389851/favbet-vs-los-kogutos-cct-season-3-europe-series-15,FAVBET,68,89
Alliance,OG,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390122/alliance-vs-og-iem-atlanta-2026-closed-qualifier,Alliance,76,52
Johnny Speeds,K27,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390121/johnny-speeds-vs-k27-iem-atlanta-2026-closed-qualifier,Johnny Speeds,73,40
CYBERSHOKE,Inner Circle,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390120/cybershoke-vs-inner-circle-iem-atlanta-2026-closed-qualifier,Inner Circle,58,44
ENCE,EYEBALLERS,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390123/ence-vs-eyeballers-iem-atlanta-2026-closed-qualifier,ENCE,70,34
OG,Nemesis,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390118/og-vs-nemesis-iem-atlanta-2026-closed-qualifier,OG,52,45
Inner Circle,BET-M,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390117/inner-circle-vs-bet-m-iem-atlanta-2026-closed-qualifier,BET-M,44,80
Tricked,EYEBALLERS,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390119/tricked-vs-eyeballers-iem-atlanta-2026-closed-qualifier,EYEBALLERS,59,34
Wildcard,Voca,2,1,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390136/wildcard-vs-voca-iem-atlanta-2026-americas-closed-qualifier,Wildcard,75,49
fnatic,K27,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390116/fnatic-vs-k27-iem-atlanta-2026-closed-qualifier,fnatic,33,40
Alliance,SINNERS,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390113/alliance-vs-sinners-iem-atlanta-2026-closed-qualifier,SINNERS,76,65
GenOne,WHITEBIRD,0,2,CCT Season 3 Europe Series 15,Results for February 10th 2026,https://www.hltv.org/matches/2389848/genone-vs-whitebird-cct-season-3-europe-series-15,WHITEBIRD,56,86
Johnny Speeds,Nuclear TigeRES,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390115/johnny-speeds-vs-nuclear-tigeres-iem-atlanta-2026-closed-qualifier,Johnny Speeds,73,43
Inner Circle,Tricked,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390110/inner-circle-vs-tricked-iem-atlanta-2026-closed-qualifier,Inner Circle,44,59
BET-M,EYEBALLERS,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390111/bet-m-vs-eyeballers-iem-atlanta-2026-closed-qualifier,BET-M,80,34
BetBoom,ENCE,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390112/betboom-vs-ence-iem-atlanta-2026-closed-qualifier,BetBoom,32,70
Nemesis,K27,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390109/nemesis-vs-k27-iem-atlanta-2026-closed-qualifier,K27,45,40
fnatic,OG,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390108/fnatic-vs-og-iem-atlanta-2026-closed-qualifier,fnatic,33,52
ENCE,CYBERSHOKE,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390105/ence-vs-cybershoke-iem-atlanta-2026-closed-qualifier,ENCE,70,58
