match_id,veto_order,team,action,map_name
2389797,1,Crashers,removed,Mirage
2389797,2,ShindeN,removed,Anubis
2389797,3,Crashers,picked,Dust2
2389797,4,ShindeN,picked,Nuke
2389797,5,Crashers,removed,Overpass
2389797,6,ShindeN,removed,Ancient
2390093,1,Let Her Cook,removed,Ancient
2390093,2,BIG EQUIPA,removed,Nuke
2390093,3,Let Her Cook,picked,Mirage
2390093,4,BIG EQUIPA,picked,Inferno
2390093,5,Let Her Cook,removed,Overpass
2390093,6,BIG EQUIPA,removed,Anubis
2389852,1,VP.Prodigy,removed,Ancient
2389852,2,Phantom,removed,Inferno
2389852,3,VP.Prodigy,picked,Overpass
2389852,4,Phantom,picked,Nuke
2389852,5,VP.Prodigy,removed,Anubis
2389852,6,Phantom,removed,Mirage
2390141,1,Fisher College,removed,Dust2
2390141,2,BOSS,removed,Anubis
2390141,3,Fisher College,picked,Ancient
2390141,4,BOSS,picked,Inferno
2390141,5,Fisher College,removed,Overpass
2390141,6,BOSS,removed,Mirage
2390014,1,Oxuji,removed,Overpass
2390014,2,CSDIILIT,removed,Dust2
2390014,3,Oxuji,picked,Nuke
2390014,4,CSDIILIT,picked,Mirage
2390014,5,Oxuji,removed,Inferno
2390014,6,CSDIILIT,removed,Anubis
2390142,1,SportsBetExpert,removed,Anubis
2390142,2,Voca,removed,Inferno
2390142,3,SportsBetExpert,picked,Dust2
2390142,4,Voca,picked,Ancient
2390142,5,SportsBetExpert,removed,Overpass
2390142,6,Voca,removed,Nuke
2389796,1,GameHunters,removed,Anubis
2389796,2,Bad Luck,removed,Mirage
2389796,3,GameHunters,picked,Dust2
2389796,4,Bad Luck,picked,Inferno
2389796,5,GameHunters,removed,Overpass
2389796,6,Bad Luck,removed,Ancient
2390092,1,Peekaboo,removed,Mirage
2390092,2,Pigeons,removed,Anubis
2390092,3,Peekaboo,picked,Ancient
2390092,4,Pigeons,picked,Dust2
2390092,5,Peekaboo,removed,Overpass
2390092,6,Pigeons,removed,Inferno
2390013,1,TDK,removed,Nuke
2390013,2,Atreides,removed,Anubis
2390013,3,TDK,picked,Overpass
2390013,4,Atreides,picked,Mirage
2390013,5,TDK,removed,Inferno
2390013,6,Atreides,removed,Dust2
2389795,1,ex-KRÜ,removed,Ancient
2389795,2,BESTIA Academy,removed,Anubis
2389795,3,ex-KRÜ,picked,Dust2
2389795,4,BESTIA Academy,picked,Nuke
2389795,5,ex-KRÜ,removed,Inferno
2389795,6,BESTIA Academy,removed,Mirage
2390012,1,Ursa,removed,Ancient
2390012,2,Pigeons,removed,Anubis
2390012,3,Ursa,picked,Inferno
2390012,4,Pigeons,picked,Mirage
2390012,5,Ursa,removed,Overpass
2390012,6,Pigeons,removed,Nuke
2389850,1,ex-Zero Tenacity,removed,Ancient
2389850,2,Acend,removed,Nuke
2389850,3,ex-Zero Tenacity,picked,Dust2
2389850,4,Acend,picked,Inferno
2389850,5,ex-Zero Tenacity,removed,Overpass
2389850,6,Acend,removed,Anubis
2390161,1,VP.Prodigy,removed,Ancient
2390161,2,ex-FUT Academy,removed,Dust2
2390161,3,VP.Prodigy,picked,Overpass
2390161,4,ex-FUT Academy,picked,Inferno
2390161,5,VP.Prodigy,removed,Anubis
2390161,6,ex-FUT Academy,removed,Nuke
2390011,1,HyperSpirit,removed,Inferno
2390011,2,PRIME,removed,Nuke
2390011,3,HyperSpirit,picked,Mirage
2390011,4,PRIME,picked,Anubis
2390011,5,HyperSpirit,removed,Overpass
2390011,6,PRIME,removed,Ancient
2389849,1,Metizport,removed,Anubis
2389849,2,Lazer Cats,removed,Overpass
2389849,3,Metizport,picked,Inferno
2389849,4,Lazer Cats,picked,Ancient
2389849,5,Metizport,removed,Mirage
2389849,6,Lazer Cats,removed,Dust2
2390178,1,FlyQuest RED,removed,Overpass
2390178,2,F5,removed,Dust2
2390178,3,FlyQuest RED,picked,Nuke
2390178,4,F5,picked,Ancient
2390178,5,FlyQuest RED,removed,Inferno
2390178,6,F5,removed,Anubis
2390177,1,Outfit 49,removed,Ancient
2390177,2,Blitzkrieg,removed,Nuke
2390177,3,Outfit 49,picked,Inferno
2390177,4,Blitzkrieg,picked,Dust2
2390177,5,Outfit 49,removed,Overpass
2390177,6,Blitzkrieg,removed,Anubis
2390173,1,LAG,removed,Overpass
2390173,2,Chicken Coop,removed,Inferno
2390173,3,LAG,picked,Dust2
2390173,4,Chicken Coop,picked,Nuke
2390173,5,LAG,removed,Anubis
2390173,6,Chicken Coop,removed,Mirage
2390140,1,Wildcard,removed,Ancient
2390140,2,Fisher College,removed,Dust2
2390140,3,Wildcard,picked,Mirage
2390140,4,Fisher College,picked,Nuke
2390140,5,Wildcard,removed,Anubis
2390140,6,Fisher College,removed,Overpass
2390139,1,SportsBetExpert,removed,Anubis
2390139,2,Passion UA,removed,Ancient
2390139,3,SportsBetExpert,picked,Mirage
2390139,4,Passion UA,picked,Overpass
2390139,5,SportsBetExpert,removed,Nuke
2390139,6,Passion UA,removed,Dust2
2390175,1,Zomblers,removed,Overpass
2390175,2,Aether,removed,Dust2
2390175,3,Zomblers,picked,Ancient
2390175,4,Aether,picked,Inferno
2390175,5,Zomblers,removed,Anubis
2390175,6,Aether,removed,Nuke
2389764,1,Marsborne,removed,Mirage
2389764,2,Rave,removed,Anubis
2389764,3,Marsborne,picked,Inferno
2389764,4,Rave,picked,Ancient
2389764,5,Marsborne,removed,Dust2
2389764,6,Rave,removed,Nuke
2390179,1,InControl,removed,Ancient
2390179,2,Sakura,removed,Inferno
2390179,3,InControl,picked,Nuke
2390179,4,Sakura,picked,Overpass
2390179,5,InControl,removed,Anubis
2390179,6,Sakura,removed,Dust2
2390138,1,Voca,removed,Inferno
2390138,2,Rave,removed,Anubis
2390138,3,Voca,picked,Nuke
2390138,4,Rave,picked,Ancient
2390138,5,Voca,removed,Mirage
2390138,6,Rave,removed,Dust2
2390137,1,mouse,removed,Overpass
2390137,2,BOSS,removed,Anubis
2390137,3,mouse,picked,Mirage
2390137,4,BOSS,picked,Inferno
2390137,5,mouse,removed,Nuke
2390137,6,BOSS,removed,Dust2
2389794,1,ShindeN,removed,Anubis
2389794,2,Vasco,removed,Nuke
2389794,3,ShindeN,picked,Mirage
2389794,4,Vasco,picked,Dust2
2389794,5,ShindeN,removed,Overpass
2389794,6,Vasco,removed,Ancient
2390091,1,Let Her Cook,removed,Inferno
2390091,2,hindsight,removed,Dust2
2390091,3,Let Her Cook,picked,Mirage
2390091,4,hindsight,picked,Ancient
2390091,5,Let Her Cook,removed,Nuke
2390091,6,hindsight,removed,Overpass
2389793,1,Bad Luck,removed,Mirage
2389793,2,Fake do Biru,removed,Ancient
2389793,3,Bad Luck,picked,Nuke
2389793,4,Fake do Biru,picked,Anubis
2389793,5,Bad Luck,removed,Dust2
2389793,6,Fake do Biru,removed,Inferno
2390134,1,SportsBetExpert,removed,Anubis
2390134,2,BOSS,removed,Dust2
2390134,3,SportsBetExpert,picked,Mirage
2390134,4,BOSS,picked,Nuke
2390134,5,SportsBetExpert,removed,Ancient
2390134,6,BOSS,removed,Overpass
2390114,1,BASEMENT BOYS,removed,Overpass
2390114,2,CYBERSHOKE,removed,Inferno
2390114,3,BASEMENT BOYS,picked,Nuke
2390114,4,CYBERSHOKE,picked,Dust2
2390114,5,BASEMENT BOYS,removed,Ancient
2390114,6,CYBERSHOKE,removed,Anubis
2390133,1,mouse,removed,Overpass
2390133,2,Passion UA,removed,Ancient
2390133,3,mouse,picked,Mirage
2390133,4,Passion UA,picked,Nuke
2390133,5,mouse,removed,Anubis
2390133,6,Passion UA,removed,Inferno
2390010,1,home,removed,Overpass
2390010,2,BRUTE,removed,Nuke
2390010,3,home,picked,Mirage
2390010,4,BRUTE,picked,Dust2
2390010,5,home,removed,Anubis
2390010,6,BRUTE,removed,Ancient
2390090,1,confidence,removed,Inferno
2390090,2,BIG EQUIPA,removed,Nuke
2390090,3,confidence,picked,Anubis
2390090,4,BIG EQUIPA,picked,Ancient
2390090,5,confidence,removed,Overpass
2390090,6,BIG EQUIPA,removed,Dust2
2389792,1,ex-KRÜ,removed,Ancient
2389792,2,FOLHA AMARELA,removed,Overpass
2389792,3,ex-KRÜ,picked,Dust2
2389792,4,FOLHA AMARELA,picked,Nuke
2389792,5,ex-KRÜ,removed,Inferno
2389792,6,FOLHA AMARELA,removed,Anubis
2390009,1,Enjoy,removed,Nuke
2390009,2,QWENTRY,removed,Mirage
2390009,3,Enjoy,picked,Ancient
2390009,4,QWENTRY,picked,Overpass
2390009,5,Enjoy,removed,Inferno
2390009,6,QWENTRY,removed,Anubis
2389847,1,ALGO,removed,Ancient
2389847,2,Leo,removed,Mirage
2389847,3,ALGO,picked,Overpass
2389847,4,Leo,picked,Dust2
2389847,5,ALGO,removed,Anubis
2389847,6,Leo,removed,Nuke
2390008,1,Bebop,removed,Inferno
2390008,2,Washington,removed,Dust2
2390008,3,Bebop,picked,Mirage
2390008,4,Washington,picked,Nuke
2390008,5,Bebop,removed,Overpass
2390008,6,Washington,removed,Anubis
2389846,1,Nexus,removed,Nuke
2389846,2,BIG EQUIPA,removed,Overpass
2389846,3,Nexus,picked,Dust2
2389846,4,BIG EQUIPA,picked,Inferno
2389846,5,Nexus,removed,Ancient
2389846,6,BIG EQUIPA,removed,Anubis
2390104,1,BASEMENT BOYS,removed,Mirage
2390104,2,BetBoom,removed,Inferno
2390104,3,BASEMENT BOYS,picked,Dust2
2390104,4,BetBoom,picked,Nuke
2390104,5,BASEMENT BOYS,removed,Overpass
2390104,6,BetBoom,removed,Anubis
2389845,1,kONO,removed,Mirage
2389845,2,ASTRAL,removed,Overpass
2389845,3,kONO,picked,Inferno
2389845,4,ASTRAL,picked,Ancient
2389845,5,kONO,removed,Dust2
2389845,6,ASTRAL,removed,Anubis
2390007,1,MASONIC,removed,Dust2
2390007,2,VP.Prodigy,removed,Ancient
2390007,3,MASONIC,picked,Anubis
2390007,4,VP.Prodigy,picked,Mirage
2390007,5,MASONIC,removed,Inferno
2390007,6,VP.Prodigy,removed,Nuke
2390174,1,SportsBetExpert,removed,Nuke
2390174,2,Reign Above,removed,Ancient
2390174,3,SportsBetExpert,picked,Mirage
2390174,4,Reign Above,picked,Inferno
2390174,5,SportsBetExpert,removed,Anubis
2390174,6,Reign Above,removed,Overpass
2390172,1,regain,removed,Nuke
2390172,2,Wildcard,removed,Ancient
2390172,3,regain,picked,Dust2
2390172,4,Wildcard,picked,Mirage
2390172,5,regain,removed,Overpass
2390172,6,Wildcard,removed,Anubis
2389762,1,Marsborne,removed,Dust2
2389762,2,SportsBetExpert,removed,Anubis
2389762,3,Marsborne,picked,Overpass
2389762,4,SportsBetExpert,picked,Mirage
2389762,5,Marsborne,removed,Ancient
2389762,6,SportsBetExpert,removed,Nuke
2389791,1,BESTIA Academy,removed,Anubis
2389791,2,Procyon,removed,Ancient
2389791,3,BESTIA Academy,picked,Nuke
2389791,4,Procyon,picked,Mirage
2389791,5,BESTIA Academy,removed,Overpass
2389791,6,Procyon,removed,Inferno
2390089,1,Fingers Crossed fe,removed,Inferno
2390089,2,Peekaboo,removed,Mirage
2390089,3,Fingers Crossed fe,picked,Dust2
2390089,4,Peekaboo,picked,Ancient
2390089,5,Fingers Crossed fe,removed,Nuke
2390089,6,Peekaboo,removed,Overpass
2390006,1,Washington,removed,Mirage
2390006,2,home,removed,Nuke
2390006,3,Washington,picked,Inferno
2390006,4,home,picked,Dust2
2390006,5,Washington,removed,Anubis
2390006,6,home,removed,Overpass
2389844,1,BIG EQUIPA,removed,Nuke
2389844,2,los kogutos,removed,Inferno
2389844,3,BIG EQUIPA,picked,Ancient
2389844,4,los kogutos,picked,Mirage
2389844,5,BIG EQUIPA,removed,Overpass
2389844,6,los kogutos,removed,Dust2
2389790,1,FURIA fe,removed,Overpass
2389790,2,Crashers,removed,Mirage
2389790,3,FURIA fe,picked,Ancient
2389790,4,Crashers,picked,Dust2
2389790,5,FURIA fe,removed,Nuke
2389790,6,Crashers,removed,Anubis
2389843,1,Lazer Cats,removed,Overpass
2389843,2,Leo,removed,Mirage
2389843,3,Lazer Cats,picked,Inferno
2389843,4,Leo,picked,Ancient
2389843,5,Lazer Cats,removed,Dust2
2389843,6,Leo,removed,Nuke
2390005,1,BRUTE,removed,Nuke
2390005,2,Bebop,removed,Inferno
2390005,3,BRUTE,picked,Dust2
2390005,4,Bebop,picked,Ancient
2390005,5,BRUTE,removed,Mirage
2390005,6,Bebop,removed,Overpass
2390088,1,imodium,removed,Inferno
2390088,2,Pigeons,removed,Anubis
2390088,3,imodium,picked,Ancient
2390088,4,Pigeons,picked,Mirage
2390088,5,imodium,removed,Overpass
2390088,6,Pigeons,removed,Nuke
2389789,1,GameHunters,removed,Anubis
2389789,2,Players,removed,Nuke
2389789,3,GameHunters,picked,Mirage
2389789,4,Players,picked,Dust2
2389789,5,GameHunters,removed,Inferno
2389789,6,Players,removed,Overpass
2390004,1,QWENTRY,removed,Inferno
2390004,2,MASONIC,removed,Dust2
2390004,3,QWENTRY,picked,Overpass
2390004,4,MASONIC,picked,Ancient
2390004,5,QWENTRY,removed,Mirage
2390004,6,MASONIC,removed,Anubis
2389842,1,WHITEBIRD,removed,Anubis
2389842,2,Phantom,removed,Inferno
2389842,3,WHITEBIRD,picked,Overpass
2389842,4,Phantom,picked,Nuke
2389842,5,WHITEBIRD,removed,Ancient
2389842,6,Phantom,removed,Mirage
2390003,1,VP.Prodigy,removed,Ancient
2390003,2,Enjoy,removed,Inferno
2390003,3,VP.Prodigy,picked,Nuke
2390003,4,Enjoy,picked,Anubis
2390003,5,VP.Prodigy,removed,Mirage
2390003,6,Enjoy,removed,Overpass
2389841,1,ALGO,removed,Ancient
2389841,2,Metizport,removed,Anubis
2389841,3,ALGO,picked,Mirage
2389841,4,Metizport,picked,Inferno
2389841,5,ALGO,removed,Dust2
2389841,6,Metizport,removed,Overpass
2389761,1,FlyQuest RED,removed,Nuke
2389761,2,SportsBetExpert,removed,Inferno
2389761,3,FlyQuest RED,picked,Dust2
2389761,4,SportsBetExpert,picked,Mirage
2389761,5,FlyQuest RED,removed,Anubis
2389761,6,SportsBetExpert,removed,Overpass
2390171,1,1WIN NA,removed,Nuke
2390171,2,Fisher College,removed,Dust2
2390171,3,1WIN NA,picked,Mirage
2390171,4,Fisher College,picked,Anubis
2390171,5,1WIN NA,removed,Inferno
2390171,6,Fisher College,removed,Overpass
2390168,1,ClayMakers,removed,Nuke
2390168,2,Wildcard,removed,Ancient
2390168,3,ClayMakers,picked,Anubis
2390168,4,Wildcard,picked,Mirage
2390168,5,ClayMakers,removed,Overpass
2390168,6,Wildcard,removed,Dust2
2390170,1,Omen,removed,Ancient
2390170,2,SportsBetExpert,removed,Nuke
2390170,3,Omen,picked,Inferno
2390170,4,SportsBetExpert,picked,Dust2
2390170,5,Omen,removed,Overpass
2390170,6,SportsBetExpert,removed,Anubis
2390169,1,mouse,removed,Overpass
2390169,2,F5,removed,Anubis
2390169,3,mouse,picked,Inferno
2390169,4,F5,picked,Ancient
2390169,5,mouse,removed,Nuke
2390169,6,F5,removed,Dust2
2389788,1,9z,removed,Anubis
2389788,2,ex-KRÜ,removed,Ancient
2389788,3,9z,picked,Overpass
2389788,4,ex-KRÜ,picked,Mirage
2389788,5,9z,removed,Inferno
2389788,6,ex-KRÜ,removed,Nuke
2389787,1,Vasco,removed,Nuke
2389787,2,LP,removed,Anubis
2389787,3,Vasco,picked,Dust2
2389787,4,LP,picked,Inferno
2389787,5,Vasco,removed,Ancient
2389787,6,LP,removed,Overpass
2390084,1,pugs4contract,removed,Nuke
2390084,2,BET-M,removed,Overpass
2390084,3,pugs4contract,picked,Mirage
2390084,4,BET-M,picked,Inferno
2390084,5,pugs4contract,removed,Dust2
2390084,6,BET-M,removed,Anubis
2390085,1,Phantom,removed,Inferno
2390085,2,OG,removed,Anubis
2390085,3,Phantom,picked,Nuke
2390085,4,OG,picked,Overpass
2390085,5,Phantom,removed,Ancient
2390085,6,OG,removed,Dust2
2389840,1,ex-Zero Tenacity,removed,Ancient
2389840,2,ASTRAL,removed,Overpass
2389840,3,ex-Zero Tenacity,picked,Dust2
2389840,4,ASTRAL,picked,Nuke
2389840,5,ex-Zero Tenacity,removed,Mirage
2389840,6,ASTRAL,removed,Inferno
2390087,1,BASEMENT BOYS,removed,Overpass
2390087,2,ARCRED,removed,Inferno
2390087,3,BASEMENT BOYS,picked,Nuke
2390087,4,ARCRED,picked,Anubis
2390087,5,BASEMENT BOYS,removed,Ancient
2390087,6,ARCRED,removed,Mirage
2390083,1,brazylijski luz,removed,Dust2
2390083,2,BASEMENT BOYS,removed,Ancient
2390083,3,BASEMENT BOYS,removed,Inferno
